Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,MPN,MFN,PurchasingLink
1,"LED, Green, 2.2V, 20mA, 0805",LED_0805,D2 D4 D6 D8 D10 D12 D14 D16,LED_0805,LED_0805_OEM,8,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,475-1410-1-ND,DK,https://www.digikey.com/products/en?keywords=475-1410-1-ND
2,200mA Fuse,200mA_Fuse,F0 F2 F4 F6 F8 F10 F12 F14 F16 F+1 F+2 F-1 F-2,200mA_Fuse,Fuse_1812,13,https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCG%20Nov2016.pdf,,,
3,Micro-MaTch connector 10 pin male vertical,MM_M_VT_10,J1 J6,MM_M_VT_10,micromatch_female_vert_10,2,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F1-1-215464-0,1-215464-0,TE,http://www.te.com/global-en/product-1-215464-0.html
4,Micro-MaTch connector 12 pin male vertical,MM_M_VT_12,J2 J3 J4 J7 J8 J9,MM_M_VT_12,micromatch_female_vert_12,6,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F1-1-215464-2,1-215464-2,TE,http://www.te.com/global-en/product-1-215464-2.html
5,Micro-MaTch connector 16 pin male vertical,MM_M_VT_16,J5,MM_M_VT_16,micromatch_female_vert_16,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F1-1-215464-6,1-215464-6,TE,http://www.te.com/global-en/product-1-215464-6.html
6,"MOSFET, P-channel, 30V, 2A",BSS308PE,Q2 Q4 Q6 Q8 Q10 Q12 Q14 Q16,BSS308PE,SOT-23-3_OEM,8,https://www.infineon.com/dgdl/BSS308PE_Rev2.03.pdf?folderId=db3a304314dca38901154a72e3951a65&fileId=db3a304330f686060131099c80400073,BSS308PEH6327XTSA1CT-ND,DK,https://www.digikey.com/products/en/discrete-semiconductor-products/transistors-fets-mosfets-single/278?k=bss308pe&k=&pkeyword=bss308pe&pv7=2&pv1989=0&sf=0&quantity=&ColumnSort=0&page=1&stock=1&datasheet=1&pageSize=25
7,RES SMD 3.3 OHM 1% 25W DPAK,R_3.3_25W_TO163,R2 R4 R6 R8 R10 R12 R14 R16,R_3.3_25W_TO163,PWR163,8,https://www.bourns.com/docs/Product-Datasheets/PWR163.pdf,PWR163S-25-3R30F-ND,DK,https://www.digikey.com/products/en?keywords=PWR163S-25-3R30F-ND
8,"Resistor, 475, 0.125W, 1%, 0805",R_475,R32 R34 R36 R38 R40 R42 R44 R46,R_475,R_0805_OEM,8,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,311-475CRCT-ND,DK,https://www.digikey.com/products/en?keywords=311-475CRCT-ND
9,,Thermistor,RT11 RT12 RT13 RT51 RT52 RT53 RT91 RT92 RT93 RT131 RT132 RT133,Thermistor,Thermistor,12,,,,
10,,Tab_Connect_BMS,T0 T2 T4 T6 T8 T10 T12 T14 T16,Tab_Connect_BMS,Tab_connect_BMS,9,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Component Groups:,10,,,,,,,,,
Component Count:,75,,,,,,,,,
Fitted Components:,75,,,,,,,,,
Number of PCBs:,1,,,,,,,,,
Total components:,75,,,,,,,,,
Schematic Version:,,,,,,,,,,
Schematic Date:,2019-09-18,,,,,,,,,
PCB Variant:,[u'default'],,,,,,,,,
BoM Date:,Mon 11 Nov 2019 08:43:34 PM EST,,,,,,,,,
Schematic Source:,/home/vscheyer/Desktop/Formula/MKV-Boards/Boards/BMS_Data_Acquisition/DA_Board_1/DA_Board_1.sch,,,,,,,,,
KiCad Version:,Eeschema 5.0.2-bee76a0~70~ubuntu16.04.1,,,,,,,,,
