Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,MPN,MFN,PurchasingLink
1,Ampseal connector 23 pin vertical,Ampseal_23_VT,J4,Ampseal_23_VT,Ampseal_23,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F776228%7FC13%7Fpdf%7FEnglish%7FENG_CD_776228_C13.pdf%7F776228-1,776228-1,TE,http://www.te.com/usa-en/product-776228-1.html
2,Micro-MaTch connector 4 pin female vertical,MM_F_VT_04,J3,MM_F_VT_04,micromatch_female_vert_4,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F338068-4,338068-4,TE,http://www.te.com/global-en/product-338068-4.html
3,Micro-MaTch connector 10 pin female vertical,MM_F_VT_10,J1,MM_F_VT_10,micromatch_female_vert_10,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F1-338068-0,1-338068-0,TE,http://www.te.com/global-en/product-1-338068-0.html
4,Micro-MaTch connector 20 pin female vertical,MM_F_VT_20,J2,MM_F_VT_20,micromatch_female_vert_20,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F2-338068-0,2-338068-0,TE,http://www.te.com/global-en/product-2-338068-0.html
5,Micro-MaTch connector 12 pin female vertical,MM_F_VT_12,J5,NanoFit_12,Molex_Nano-Fit_105310-xx12_2x06_P2.50mm_Vertical,1,http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338068%7FF1%7Fpdf%7FEnglish%7FENG_CD_338068_F1.pdf%7F1-338068-2,1-338068-2,TE,http://www.te.com/global-en/product-1-338068-2.html
6,RJ45 ethernet connector vertical,RJ45_VT,U1,RJ45_VT,RJ45-Vertical,1,https://www.amphenolcanada.com/ProductSearch/drawings/AC/MRJ548XX1.pdf,MRJ-5481-01-ND,DK,https://www.digikey.com/products/en?keywords=MRJ-5481-01





Component Groups:,6
Component Count:,6
Fitted Components:,6
Number of PCBs:,1
Total components:,6
Schematic Version:,
Schematic Date:,
BoM Date:,Sun 24 Feb 2019 12:25:19 PM EST
Schematic Source:,/home/asudhakar/Documents/Forumla/MKIV-Boards/Boards/Dashboard Mk4/rev4/Interface Board/DR_InterfaceBoard.sch
KiCad Version:,Eeschema 5.0.2-bee76a0~70~ubuntu18.04.1
