Reference, Quantity, Value, Footprint, Datasheet, MFN, MPN, PurchasingLink, DK
C1 ,1,"C_2.2uF","footprints:C_0603_1608Metric","http://www.yageo.com/documents/recent/UPY-GPHC_X5R_4V-to-50V_25.pdf","DK","311-1451-1-ND","https://www.digikey.com/product-detail/en/yageo/CC0603KRX5R6BB225/311-1451-1-ND/2833757",""
C2 ,1,"C_10uF_16V","footprints:C_0805_OEM","http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2016/01/15/Data%20sheet_CL21A106KOCLRNC.pdf","DK","1276-2399-1-ND","https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21A106KOCLRNC/1276-2399-1-ND/3890485",""
C3 C4 ,2,"C_0.1uF","footprints:C_0805_OEM","http://datasheets.avx.com/X7RDielectric.pdf","DK","478-3352-1-ND","https://www.digikey.com/products/en?keywords=478-3352-1-ND",""
D1 ,1,"D_Zener_18V","footprints:DO-214AA","http://www.mccsemi.com/up_pdf/SMBJ5338B-SMBJ5388B(SMB).pdf","DK","SMBJ5355B-TPMSCT-ND","https://www.digikey.com/products/en?keywords=SMBJ5355B-TPMSCT-ND",""
D2 D4 ,2,"LED_0805","footprints:LED_0805_OEM","http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf","DK","475-1410-1-ND","https://www.digikey.com/products/en?keywords=475-1410-1-ND",""
D3 ,1,"D_Schottky_Small","footprints:D_0805_OEM","~"
F1 ,1,"F_500mA_16V","footprints:Fuse_1210","https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf","DK","507-1786-1-ND","https://www.digikey.com/product-detail/en/bel-fuse-inc/0ZCH0050FF2G/507-1786-1-ND/4156209",""
J1 ,1,"UF_5_VT","footprints:Ultrafit_5","http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-1008.pdf","DK","WM11667-ND","https://www.digikey.com/product-detail/en/molex-llc/1722861105/WM11667-ND/5360132",""
J2 ,1,"MM_F_RA_04","footprints:micromatch_female_ra_4","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F338070%7FG1%7Fpdf%7FEnglish%7FENG_CD_338070_G1.pdf%7F338070-4","TE","338070-4","http://www.te.com/usa-en/product-338070-4.html",""
J3 ,1,"MicroFit_V_2","footprints:MicroFit_V_2","https://www.molex.com/pdm_docs/sd/430450225_sd.pdf","","WM10660-ND","https://www.digikey.com/product-detail/en/molex/0430450225/WM10660-ND/3310180","MFN"
K1 ,1,"G5Q-1A4-DC5-5V","footprints:Relay_SPST_OMRON-G5Q-1A4_OEM","http://omronfs.omron.com/en_US/ecb/products/pdf/en-g5q.pdf","DK","Z3632-ND","https://www.digikey.com/product-detail/en/omron-electronics-inc-emc-div/G5Q-1A4-DC5/Z3632-ND/1815721",""
Q2 Q1 ,2,"SSM3K333R","footprints:SOT-23F","https://drive.google.com/drive/folders/0B-V-iZf33Y4GNzhDQTJZanJRbVk","DK","SSM3K333RLFCT-ND","https://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/SSM3K333RLF/SSM3K333RLFCT-ND/3522391",""
R1 R10 R11 ,3,"R_2.2K","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","DK","RMCF0805FT2K20CT-ND","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805FT2K20/RMCF0805FT2K20CT-ND/1942387",""
R2 R12 ,2,"R_300K","footprints:R_0805_OEM","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","DK","P300KDACT-ND","https://www.digikey.com/product-detail/en/panasonic-electronic-components/ERA-6AEB304V/P300KDACT-ND/1466006",""
R3 R13 R8 ,3,"R_604K","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","DK","RMCF0805FT604KCT-ND","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805FT604K/RMCF0805FT604KCT-ND/4425214",""
R4 R9 R5 ,3,"R_1K","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-rncp.pdf","DK","RNCP0805FTD1K00CT-ND","https://www.digikey.com/products/en?keywords=RNCP0805FTD1K00CT-ND",""
R6 ,1,"R_120K","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","DK","RMCF0805FT120KCT-ND","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805FT120K/RMCF0805FT120KCT-ND/2418248",""
R7 ,1,"R_1.82M","footprints:R_0805_OEM","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","DK","RMCF0805FT1M82CT-ND","https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805FT1M82/RMCF0805FT1M82CT-ND/2418309",""
U2 ,1,"CD4043BPWR","footprints:TSSOP-16-OEM","http://www.ti.com/lit/ds/symlink/cd4043b.pdf","DK","296-14106-1-ND","https://www.digikey.com/product-detail/en/texas-instruments/CD4043BPWR/296-14106-1-ND/525904",""
U3 U1 ,2,"TLV3701QDBVRG4Q1","footprints:SOT-23-5_OEM","http://www.ti.com/lit/ds/symlink/tlv3702-q1.pdf","DK","497-10249-1-ND","https://www.digikey.com/product-detail/en/texas-instruments/TLV3701QDBVRG4Q1/296-32395-6-ND/3507000",""
